id,question,sparql_gold,assigned_error_type,prompt,sparql_wrong,error_types,raw_json,valid_generation,issue
q1,List all boardgames by GMT.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE { ?uri dbo:publisher res:GMT_Games },semantic,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Semantic errors are errors that violate the meaning or ontology constraints of the knowledge graph.

Examples of semantic errors include:
- incorrect URI
- incorrect property
- incorrect class
- hallucinated entity or property
- wrong literal or resource type
- malformed FILTER condition
- logically inconsistent triple patterns
- ontology constraint violations

Rules:
- Introduce EXACTLY ONE semantic error
- Keep the query syntactically valid
- Keep the query structure as close as possible to the original
- Do NOT introduce syntax errors
- Do NOT introduce structural errors
- The generated query should remain realistic and plausible
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q1"",
  ""question"": ""List all boardgames by GMT."",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE {{ ?uri dbo:publisher res:GMT_Games }}""
}

Output format:
{
  ""id"": ""q1"",
  ""question"": ""List all boardgames by GMT."",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE {{ ?uri dbo:publisher res:GMT_Games }}"",
  ""error_types"": [""semantic""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE { ?uri dbo:author res:GMT_Games },['semantic'],"{
  ""id"": ""q1"",
  ""question"": ""List all boardgames by GMT."",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE { ?uri dbo:author res:GMT_Games }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT ?uri WHERE {{ ?uri dbo:publisher res:GMT_Games }}"",
  ""error_types"": [""semantic""]
}",yes,none
q2,Who developed Skype?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Skype dbo:developer ?uri. },semantic,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Semantic errors are errors that violate the meaning or ontology constraints of the knowledge graph.

Examples of semantic errors include:
- incorrect URI
- incorrect property
- incorrect class
- hallucinated entity or property
- wrong literal or resource type
- malformed FILTER condition
- logically inconsistent triple patterns
- ontology constraint violations

Rules:
- Introduce EXACTLY ONE semantic error
- Keep the query syntactically valid
- Keep the query structure as close as possible to the original
- Do NOT introduce syntax errors
- Do NOT introduce structural errors
- The generated query should remain realistic and plausible
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q2"",
  ""question"": ""Who developed Skype?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Skype dbo:developer ?uri. }}""
}

Output format:
{
  ""id"": ""q2"",
  ""question"": ""Who developed Skype?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Skype dbo:developer ?uri. }}"",
  ""error_types"": [""semantic""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Skype dbo:author ?uri. },['semantic'],"{
  ""id"": ""q2"",
  ""question"": ""Who developed Skype?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Skype dbo:author ?uri. }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Skype dbo:developer ?uri. }}"",
  ""error_types"": [""semantic""]
}",yes,none
q3,Which people were born in Heraklion?,PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri rdf:type onto:Person ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>. },semantic,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Semantic errors are errors that violate the meaning or ontology constraints of the knowledge graph.

Examples of semantic errors include:
- incorrect URI
- incorrect property
- incorrect class
- hallucinated entity or property
- wrong literal or resource type
- malformed FILTER condition
- logically inconsistent triple patterns
- ontology constraint violations

Rules:
- Introduce EXACTLY ONE semantic error
- Keep the query syntactically valid
- Keep the query structure as close as possible to the original
- Do NOT introduce syntax errors
- Do NOT introduce structural errors
- The generated query should remain realistic and plausible
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q3"",
  ""question"": ""Which people were born in Heraklion?"",
  ""sparql_gold"": ""PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE {{ ?uri rdf:type onto:Person ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>. }}""
}

Output format:
{
  ""id"": ""q3"",
  ""question"": ""Which people were born in Heraklion?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE {{ ?uri rdf:type onto:Person ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>. }}"",
  ""error_types"": [""semantic""]
}
",PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri rdf:type onto:Place ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>. },['semantic'],"{
  ""id"": ""q3"",
  ""question"": ""Which people were born in Heraklion?"",
  ""sparql_wrong"": ""PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { ?uri rdf:type onto:Place ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>. }"",
  ""sparql_gold"": ""PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX onto: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE {{ ?uri rdf:type onto:Person ; onto:birthPlace <http://dbpedia.org/resource/Heraklion>. }}"",
  ""error_types"": [""semantic""]
}",yes,none
q4,In which U.S. state is Area 51 located?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Area_51 dbo:location ?uri . ?uri dbo:country res:United_States. },semantic,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Semantic errors are errors that violate the meaning or ontology constraints of the knowledge graph.

Examples of semantic errors include:
- incorrect URI
- incorrect property
- incorrect class
- hallucinated entity or property
- wrong literal or resource type
- malformed FILTER condition
- logically inconsistent triple patterns
- ontology constraint violations

Rules:
- Introduce EXACTLY ONE semantic error
- Keep the query syntactically valid
- Keep the query structure as close as possible to the original
- Do NOT introduce syntax errors
- Do NOT introduce structural errors
- The generated query should remain realistic and plausible
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q4"",
  ""question"": ""In which U.S. state is Area 51 located?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Area_51 dbo:location ?uri . ?uri dbo:country res:United_States. }}""
}

Output format:
{
  ""id"": ""q4"",
  ""question"": ""In which U.S. state is Area 51 located?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Area_51 dbo:location ?uri . ?uri dbo:country res:United_States. }}"",
  ""error_types"": [""semantic""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Area_51 dbo:location ?uri . ?uri dbo:capital res:United_States. },['semantic'],"{
  ""id"": ""q4"",
  ""question"": ""In which U.S. state is Area 51 located?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Area_51 dbo:location ?uri . ?uri dbo:capital res:United_States. }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Area_51 dbo:location ?uri . ?uri dbo:country res:United_States. }}"",
  ""error_types"": [""semantic""]
}",yes,none
q5,Who is the mayor of New York City?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri },semantic,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Semantic errors are errors that violate the meaning or ontology constraints of the knowledge graph.

Examples of semantic errors include:
- incorrect URI
- incorrect property
- incorrect class
- hallucinated entity or property
- wrong literal or resource type
- malformed FILTER condition
- logically inconsistent triple patterns
- ontology constraint violations

Rules:
- Introduce EXACTLY ONE semantic error
- Keep the query syntactically valid
- Keep the query structure as close as possible to the original
- Do NOT introduce syntax errors
- Do NOT introduce structural errors
- The generated query should remain realistic and plausible
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q5"",
  ""question"": ""Who is the mayor of New York City?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:New_York_City dbo:leaderName ?uri }}""
}

Output format:
{
  ""id"": ""q5"",
  ""question"": ""Who is the mayor of New York City?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:New_York_City dbo:leaderName ?uri }}"",
  ""error_types"": [""semantic""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:location ?uri },['semantic'],"{
  ""id"": ""q5"",
  ""question"": ""Who is the mayor of New York City?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:location ?uri }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:New_York_City dbo:leaderName ?uri }}"",
  ""error_types"": [""semantic""]
}",yes,none
q6,Which countries have places with more than two caves?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country } GROUP BY ?uri HAVING ( COUNT(?cave) > 2 ),syntax,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q6"",
  ""question"": ""Which countries have places with more than two caves?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE {{ ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country }} GROUP BY ?uri HAVING ( COUNT(?cave) > 2 )""
}

Output format:
{
  ""id"": ""q6"",
  ""question"": ""Which countries have places with more than two caves?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE {{ ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country }} GROUP BY ?uri HAVING ( COUNT(?cave) > 2 )"",
  ""error_types"": [""syntax""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country } GROUP BY ?uri HAVING ( COUNT(?cave) > 2 ,['syntax'],"{
  ""id"": ""q6"",
  ""question"": ""Which countries have places with more than two caves?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country } GROUP BY ?uri HAVING ( COUNT(?cave) > 2 "",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE {{ ?cave rdf:type dbo:Cave ; dbo:location ?uri . ?uri rdf:type dbo:Country }} GROUP BY ?uri HAVING ( COUNT(?cave) > 2 )"",
  ""error_types"": [""syntax""]
}",yes,none
q7,Where did Abraham Lincoln die?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. },semantic,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Semantic errors are errors that violate the meaning or ontology constraints of the knowledge graph.

Examples of semantic errors include:
- incorrect URI
- incorrect property
- incorrect class
- hallucinated entity or property
- wrong literal or resource type
- malformed FILTER condition
- logically inconsistent triple patterns
- ontology constraint violations

Rules:
- Introduce EXACTLY ONE semantic error
- Keep the query syntactically valid
- Keep the query structure as close as possible to the original
- Do NOT introduce syntax errors
- Do NOT introduce structural errors
- The generated query should remain realistic and plausible
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q7"",
  ""question"": ""Where did Abraham Lincoln die?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Abraham_Lincoln dbo:deathPlace ?uri. }}""
}

Output format:
{
  ""id"": ""q7"",
  ""question"": ""Where did Abraham Lincoln die?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Abraham_Lincoln dbo:deathPlace ?uri. }}"",
  ""error_types"": [""semantic""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:birthPlace ?uri. },['semantic'],"{
  ""id"": ""q7"",
  ""question"": ""Where did Abraham Lincoln die?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:birthPlace ?uri. }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE {{ res:Abraham_Lincoln dbo:deathPlace ?uri. }}"",
  ""error_types"": [""semantic""]
}",yes,none
q8,Which airports does Air China serve?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Air_China dbo:targetAirport ?uri },syntax,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q8"",
  ""question"": ""Which airports does Air China serve?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:Air_China dbo:targetAirport ?uri }}""
}

Output format:
{
  ""id"": ""q8"",
  ""question"": ""Which airports does Air China serve?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:Air_China dbo:targetAirport ?uri }}"",
  ""error_types"": [""syntax""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Air_China dbo:targetAirport ?uri ),['syntax'],"{
  ""id"": ""q8"",
  ""question"": ""Which airports does Air China serve?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Air_China dbo:targetAirport ?uri )"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:Air_China dbo:targetAirport ?uri }}"",
  ""error_types"": [""syntax""]
}",yes,none
q9,Give me all actors starring in movies directed by and starring William Shatner.,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner { ?x dbo:starring ?uri } UNION { ?x dbp:starring ?uri } },semantic,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Semantic errors are errors that violate the meaning or ontology constraints of the knowledge graph.

Examples of semantic errors include:
- incorrect URI
- incorrect property
- incorrect class
- hallucinated entity or property
- wrong literal or resource type
- malformed FILTER condition
- logically inconsistent triple patterns
- ontology constraint violations

Rules:
- Introduce EXACTLY ONE semantic error
- Keep the query syntactically valid
- Keep the query structure as close as possible to the original
- Do NOT introduce syntax errors
- Do NOT introduce structural errors
- The generated query should remain realistic and plausible
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q9"",
  ""question"": ""Give me all actors starring in movies directed by and starring William Shatner."",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE {{ ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner {{ ?x dbo:starring ?uri }} UNION {{ ?x dbp:starring ?uri }} }}""
}

Output format:
{
  ""id"": ""q9"",
  ""question"": ""Give me all actors starring in movies directed by and starring William Shatner."",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE {{ ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner {{ ?x dbo:starring ?uri }} UNION {{ ?x dbp:starring ?uri }} }}"",
  ""error_types"": [""semantic""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { { ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner . { ?x dbo:producer ?uri } UNION { ?x dbp:starring ?uri } } },['semantic'],"{
  ""id"": ""q9"",
  ""question"": ""Give me all actors starring in movies directed by and starring William Shatner."",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE { { ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner . { ?x dbo:producer ?uri } UNION { ?x dbp:starring ?uri } } }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX dbp: <http://dbpedia.org/property/> SELECT DISTINCT ?uri WHERE {{ ?x dbo:director res:William_Shatner ; dbo:starring res:William_Shatner {{ ?x dbo:starring ?uri }} UNION {{ ?x dbp:starring ?uri }} }}"",
  ""error_types"": [""semantic""]
}",yes,none
q10,What are the official languages of the Philippines?,PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri },syntax,"
You are an expert in SPARQL and DBpedia.

Your task is to generate ONE intentionally incorrect SPARQL query from a correct golden SPARQL query.

Syntactic errors are violations of SPARQL grammar rules that prevent the query from being parsed correctly.

Examples of syntactic errors include:
- missing or mismatched braces
- missing parentheses
- malformed SELECT clause
- incorrect WHERE placement
- malformed PREFIX declaration
- incorrect clause ordering
- undeclared variable
- general SPARQL grammar violations

Rules:
- Introduce EXACTLY ONE syntactic error
- Do NOT introduce semantic errors
- Do NOT introduce structural errors
- Keep the query as close as possible to the original
- Return ONLY valid JSON
- Do NOT include explanations or comments

Input:
{
  ""id"": ""q10"",
  ""question"": ""What are the official languages of the Philippines?"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:Philippines dbo:officialLanguage ?uri }}""
}

Output format:
{
  ""id"": ""q10"",
  ""question"": ""What are the official languages of the Philippines?"",
  ""sparql_wrong"": ""<generated incorrect SPARQL query>"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:Philippines dbo:officialLanguage ?uri }}"",
  ""error_types"": [""syntax""]
}
",PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri },['syntax'],"{
  ""id"": ""q10"",
  ""question"": ""What are the official languages of the Philippines?"",
  ""sparql_wrong"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri }"",
  ""sparql_gold"": ""PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE {{ res:Philippines dbo:officialLanguage ?uri }}"",
  ""error_types"": [""syntax""]
}",yes,none
